,Airline,Month Flown,Year Flown,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended,Origin,Destination,Via,Origin_Code,Destination_Code,Via_Code,Origin_City,Destination_City,Via_City,Comment Polarity,Comment Subjectivity,Title Polarity,Title Subjectivity,Class_Business Class,Class_Economy Class,Class_First Class,Class_Premium Economy,Type of Traveller_Business,Type of Traveller_Couple Leisure,Type of Traveller_Family Leisure,Type of Traveller_Solo Leisure,Origin_Lat,Origin_Lon,Dest_Lat,Dest_Lon,Duration
16,Singapore Airlines,1,2024,4,5,5,5,5,10,1,Milan,Bangkok,Singapore,MIL,BKK,SIN,Milan,Bangkok,Singapore - Changi,0.4126041666666667,0.5070833333333333,1.0,0.3,False,True,False,False,False,False,False,True,53.42829155,-6.24727406240776,39.049906449999995,-84.66515749429266,7.3960982127988295
17,Singapore Airlines,1,2024,1,1,1,1,1,2,0,Singapore,Melbourne,,SIN,MEL,,Singapore - Changi,Melbourne - Tullamarine,,-0.0532258064516129,0.3946236559139786,-0.2,0.5125,False,True,False,False,False,True,False,False,52.46144075,9.687236575826583,38.60212025,39.293272296460074,3.4290968938661393
18,Singapore Airlines,1,2024,1,5,2,3,1,1,0,Singapore,Adelaide,,SIN,ADL,,Singapore - Changi,Adelaide,,0.05892857142857143,0.18392857142857144,0.05,0.1,False,True,False,False,False,False,True,False,52.46144075,9.687236575826583,17.9866469,102.56389705740516,10.777441727504463
19,Singapore Airlines,1,2024,3,5,5,4,5,9,1,Singapore,Manchester,,SIN,MAN,,Singapore - Changi,Manchester,,0.28637500000000005,0.83175,0.5,0.875,True,False,False,False,False,False,False,True,52.46144075,9.687236575826583,7.2719815,-7.589400282557801,6.581592417598879
20,Singapore Airlines,1,2024,5,5,5,5,5,10,1,Singapore,Sydney,,SIN,SYD,,Singapore - Changi,Sydney - Kingsford Smith,,0.23944444444444443,0.4954678362573099,0.9,1.0,True,False,False,False,False,True,False,False,52.46144075,9.687236575826583,41.6093905,41.600613707764694,3.3414830278432266
21,Singapore Airlines,1,2024,4,4,5,4,4,8,1,Bangkok,Auckland,Singapore,BKK,AKL,SIN,Bangkok,Auckland,Singapore - Changi,0.3194444444444444,0.7305555555555556,1.0,0.3,True,False,False,False,False,False,False,True,39.049906449999995,-84.66515749429266,9.5488263,100.06319930633576,18.236313343128085
22,Singapore Airlines,12,2023,3,4,3,3,1,1,0,Singapore,Perth,,SIN,PER,,Singapore - Changi,Perth Int'l,,-0.06884615384615385,0.5896153846153847,0.0,0.6,False,True,False,False,False,False,True,False,52.46144075,9.687236575826583,29.2202681,47.95515559449122,5.063461820445136
23,Singapore Airlines,12,2023,4,4,4,4,2,2,0,Phuket,Singapore,,HKT,SIN,,Phuket,Singapore - Changi,,-0.061306675780359976,0.5464171793119161,-0.4,0.7,True,False,False,False,True,False,False,False,8.11013195,98.30581527719204,52.46144075,9.687236575826583,11.500050952369916
24,Singapore Airlines,12,2023,3,5,1,1,1,1,0,Kuala Lumpur,Hong Kong,Singapore,KUL,HKG,SIN,Kuala Lumpur - Int'l Airport,Hong Kong - Int'l Airport (HKIA),Singapore - Changi,0.025,0.37500000000000006,0.0,0.5,False,True,False,False,False,False,True,False,2.7447302,101.70679011024284,22.3125986,113.91729986640615,3.179780957923676
25,Singapore Airlines,12,2023,5,5,3,4,1,2,0,Penang,Singapore,,PEN,SIN,,Penang International,Singapore - Changi,,-0.012499999999999992,0.6562500000000001,0.0,0.0,False,True,False,False,False,False,True,False,5.296731899999999,100.27478564926506,52.46144075,9.687236575826583,11.975631280296607
26,Singapore Airlines,11,2023,3,4,1,3,3,7,1,Frankfurt,Jakarta,Singapore,FRA,CGK,SIN,Frankfurt/Main Int'l Airport,Jakarta - Soekarno-Hatta,Singapore - Changi,0.2333333333333333,0.5458333333333333,0.5,0.5,False,False,False,True,False,False,False,True,7.124879699999999,125.64345755531544,-5.2685808000000005,142.09704259928253,2.859314114848804
